episode,reward,score,steps,epsilon,loss,avg_reward_100
1,-10.8,0,17,0.998416,0.0,0.0
2,-11.4,0,11,0.997327,0.0,-10.8
3,-15.200000000000001,0,27,0.994654,0.0,-11.100000000000001
4,-19.1,0,24,0.992278,2.988794187704722,-12.466666666666669
5,-10.1,0,10,0.991288,4.048821604251861,-14.125000000000002
6,-11.2,0,17,0.989605,3.726628633106456,-13.320000000000002
7,-12.2,0,13,0.988318,3.2096575865378747,-12.966666666666669
8,-2.3999999999999986,1,23,0.986041,3.2035715605901633,-12.85714285714286
9,-12.3,0,12,0.984853,2.3774251540501914,-11.55
10,-11.4,0,13,0.983566,2.3760226781551657,-11.633333333333333
11,-13.5,0,22,0.981388,1.5163828452879733,-11.610000000000001
12,-11.600000000000001,0,11,0.980299,1.4318318367004395,-11.781818181818183
13,-10.4,0,7,0.979606,0.6514845192432404,-11.766666666666667
14,-10.6,0,7,0.978913,1.07757844882352,-11.661538461538463
15,-10.5,0,6,0.978319,0.9076897352933884,-11.585714285714287
16,-9.9,0,8,0.977527,0.8096186369657516,-11.513333333333334
17,-2.1999999999999993,1,19,0.975646,0.5792418506584669,-11.412500000000001
18,-15.099999999999998,0,26,0.973072,0.7246484670501488,-10.870588235294118
19,-9.9,0,12,0.971884,1.0407593275109928,-11.105555555555556
20,-10.6,0,11,0.970795,0.6317271116104993,-11.042105263157895
21,-15.7,0,46,0.966241,0.5825183598891549,-11.02
22,0.5999999999999996,1,13,0.964954,0.5355991686765964,-11.242857142857142
23,-0.9000000000000004,1,14,0.963568,1.4302775540522166,-10.704545454545455
24,-4.6,1,25,0.961093,1.620656179189682,-10.278260869565218
25,-17.1,0,30,0.9581230000000001,1.3529391745726267,-10.041666666666666
26,0.0,1,9,0.957232,1.4671799970997705,-10.324000000000002
27,-9.7,0,40,0.953272,1.819593045860529,-9.926923076923078
28,-10.3,0,10,0.952282,1.4123787015676499,-9.91851851851852
29,-14.500000000000002,0,40,0.948322,1.674040775001049,-9.932142857142859
30,-10.5,0,6,0.947728,0.8060758213202158,-10.089655172413794
31,-10.2,0,7,0.947035,0.9342533392565591,-10.103333333333333
32,-0.9000000000000004,1,12,0.945847,1.4610696732997894,-10.106451612903227
33,1.7763568394002505e-15,1,19,0.943966,1.9753172013320421,-9.81875
34,-13.0,0,15,0.942481,1.9840797662734986,-9.521212121212121
35,0.1999999999999993,1,5,0.941986,1.6980891466140746,-9.623529411764705
36,-12.0,0,23,0.939709,2.281186518461808,-9.342857142857143
37,-14.2,0,27,0.937036,2.5742839994253934,-9.416666666666666
38,-1.1999999999999993,1,11,0.935947,2.4430336518721147,-9.545945945945945
39,0.7000000000000011,1,14,0.934561,2.9697286316326688,-9.326315789473684
40,-11.6,0,31,0.931492,2.952321817797999,-9.069230769230769
41,-10.7,0,10,0.9305019999999999,3.0738053560256957,-9.1325
42,-2.0999999999999996,1,18,0.92872,2.6083392666445837,-9.170731707317072
43,-0.9000000000000004,1,14,0.927334,2.602051611457552,-9.002380952380953
44,-1.3999999999999986,1,23,0.925057,3.1774262630421184,-8.813953488372093
45,-10.8,0,9,0.924166,2.7502790689468384,-8.645454545454545
46,-9.5,0,8,0.923374,3.7124930173158646,-8.693333333333333
47,0.0,1,5,0.922879,5.599530410766602,-8.710869565217392
48,-9.8,0,7,0.922186,3.6758760384150913,-8.525531914893616
49,-13.600000000000001,0,13,0.920899,3.615933867601248,-8.552083333333334
50,-10.5,0,8,0.920107,2.263182744383812,-8.655102040816328
51,-22.699999999999996,0,32,0.916939,3.443643754348159,-8.692
52,-12.3,0,12,0.915751,3.5813060998916626,-8.966666666666667
53,-10.5,0,10,0.914761,2.3322602033615114,-9.03076923076923
54,-10.7,0,8,0.913969,4.175910949707031,-9.058490566037737
55,-12.5,0,22,0.911791,4.540973072702235,-9.088888888888889
56,-10.5,0,12,0.910603,3.5548424124717712,-9.15090909090909
57,-12.3,0,12,0.909415,3.519448180993398,-9.174999999999999
58,-10.4,0,21,0.907336,3.516139109929403,-9.229824561403507
59,-10.0,0,23,0.9050590000000001,2.8749925157298213,-9.249999999999998
60,0.0,1,5,0.904564,4.719176387786865,-9.262711864406779
61,-12.4,0,11,0.903475,3.7698822671716865,-9.10833333333333
62,-10.1,0,12,0.9022870000000001,3.4270589450995126,-9.16229508196721
63,-10.9,0,10,0.901297,2.655354356765747,-9.177419354838708
64,-4.0,1,39,0.897436,3.81938887712283,-9.204761904761902
65,-10.4,0,9,0.896545,4.331186970074971,-9.123437499999998
66,-17.6,0,49,0.891694,3.3016392734585978,-9.14307692307692
67,-12.7,0,18,0.889912,2.9056873354646893,-9.27121212121212
68,-10.7,0,18,0.88813,2.4974099232090845,-9.322388059701492
69,-18.5,0,42,0.883972,3.2883653115658533,-9.342647058823529
70,-9.5,0,8,0.88318,2.467880167067051,-9.47536231884058
71,-15.2,0,21,0.881101,3.183809172539484,-9.475714285714284
72,-13.8,0,25,0.878626,3.2507238388061523,-9.556338028169014
73,-3.799999999999997,1,17,0.876943,3.377803879625657,-9.615277777777777
74,-12.4,0,15,0.875458,3.6036017775535583,-9.535616438356163
75,-13.7,0,26,0.872884,3.571594456067452,-9.574324324324323
76,-10.1,0,14,0.871498,3.800664795296533,-9.629333333333333
77,-10.6,0,7,0.870805,3.7286023923328946,-9.635526315789473
78,-10.4,0,13,0.869518,4.032159768618071,-9.648051948051947
79,-10.3,0,14,0.868132,3.49738278559276,-9.657692307692306
80,-9.9,0,18,0.86635,4.850210474597083,-9.665822784810125
81,-10.3,0,8,0.865558,3.5513504296541214,-9.66875
82,-13.3,0,14,0.864172,5.120788199560983,-9.676543209876542
83,-14.7,0,24,0.861796,3.8287457873423896,-9.720731707317071
84,-16.0,0,39,0.857935,4.144253775095328,-9.780722891566263
85,-10.7,0,8,0.857143,3.555308610200882,-9.854761904761903
86,-10.3,0,12,0.855955,3.566328684488932,-9.86470588235294
87,-10.1,0,24,0.853579,3.875592285146316,-9.869767441860462
88,-10.7,0,20,0.851599,3.419572001695633,-9.872413793103446
89,-10.6,0,23,0.849322,4.186906672042349,-9.881818181818181
90,-10.4,0,7,0.848629,4.522248097828457,-9.889887640449437
91,-12.7,0,20,0.846649,3.2575258910655975,-9.895555555555555
92,-16.299999999999997,0,26,0.844075,3.9588248958954444,-9.926373626373627
93,-10.7,0,20,0.842095,3.969445252418518,-9.995652173913042
94,-15.200000000000001,0,17,0.8404119999999999,3.924715361174415,-10.003225806451612
95,-15.900000000000002,0,44,0.836056,2.7926560640335083,-10.058510638297872
96,-1.9999999999999982,1,33,0.832789,3.5479827071681167,-10.12
97,-16.599999999999998,0,37,0.829126,2.3387807035768353,-10.035416666666666
98,-12.200000000000001,0,35,0.825661,2.674580292190824,-10.103092783505154
99,-10.6,0,7,0.8249679999999999,3.23586733852114,-10.124489795918368
100,-11.6,0,23,0.8226910000000001,3.605611466843149,-10.12929292929293
101,-10.8,0,17,0.821008,5.282147645950317,-10.144
102,-2.4000000000000004,1,23,0.818731,3.45904345875201,-10.144
103,-10.6,0,7,0.818038,3.8307033606937955,-10.054000000000002
104,0.20000000000000107,1,15,0.816553,3.2427265922228496,-10.008000000000003
105,-10.7,0,12,0.815365,3.7205437620480857,-9.815
106,-14.599999999999998,0,29,0.812494,3.260091678849582,-9.821000000000003
107,-9.6,0,9,0.811603,1.7335535089174907,-9.855000000000002
108,-10.0,0,11,0.810514,3.606268118728291,-9.829000000000002
109,-0.5999999999999979,1,27,0.807841,2.4108253375247672,-9.905000000000003
110,-12.2,0,11,0.806752,4.992518294941295,-9.788000000000002
111,-9.9,0,8,0.80596,5.3856887221336365,-9.796000000000001
112,-10.2,0,9,0.805069,3.6842684348424277,-9.760000000000002
113,-12.700000000000001,0,20,0.8030889999999999,2.888858912885189,-9.746000000000002
114,0.3000000000000007,1,6,0.802495,3.028782536586126,-9.769000000000002
115,-12.4,0,23,0.800218,2.684774319762769,-9.660000000000002
116,-1.9999999999999982,1,17,0.798535,1.8035227305748884,-9.679000000000002
117,-18.1,0,52,0.7933870000000001,4.1239357349964285,-9.600000000000001
118,-10.5,0,8,0.792595,3.5159954503178596,-9.759000000000004
119,0.6999999999999993,1,18,0.790813,2.516034894519382,-9.713000000000003
120,-10.0,0,9,0.789922,4.6674467159642115,-9.607000000000001
121,-16.299999999999997,0,48,0.78517,2.6830311603844166,-9.601000000000003
122,-11.2,0,11,0.784081,3.79775750095194,-9.607000000000003
123,-20.200000000000003,0,49,0.77923,4.805652555154294,-9.725000000000001
124,-21.6,0,37,0.775567,2.7266978412061125,-9.918000000000003
125,-0.1999999999999975,1,9,0.774676,3.9285752442148,-10.088000000000003
126,-10.1,0,10,0.773686,2.4952041089534758,-9.919000000000004
127,-4.199999999999999,1,25,0.771211,3.7532515323162077,-10.020000000000005
128,-15.799999999999997,0,21,0.769132,2.017162005106608,-9.965000000000005
129,-10.4,0,11,0.768043,4.677661110054363,-10.020000000000005
130,-10.2,0,9,0.7671520000000001,5.042742762300703,-9.979000000000006
131,-12.2,0,25,0.764677,3.206484158039093,-9.976000000000004
132,-0.3999999999999986,1,11,0.7635879999999999,3.7256530306556006,-9.996000000000006
133,-12.0,0,21,0.761509,4.217173028559912,-9.991000000000005
134,-11.2,0,17,0.759826,3.911732652608086,-10.111000000000004
135,-10.4,0,27,0.757153,4.095374646010222,-10.093000000000007
136,-11.8,0,17,0.75547,4.397381270633025,-10.199000000000005
137,-16.6,0,25,0.752995,4.462469046115875,-10.197000000000005
138,0.29999999999999893,1,14,0.751609,3.987159937620163,-10.221000000000005
139,-11.700000000000001,0,16,0.7500249999999999,2.5269114933907986,-10.206000000000007
140,-19.5,0,66,0.743491,3.971704781507001,-10.330000000000007
141,-14.5,0,28,0.7407189999999999,4.447310017687934,-10.409000000000006
142,-11.8,0,13,0.7394320000000001,2.406955666266955,-10.447000000000008
143,-6.4,1,47,0.734779,3.102645757984608,-10.544000000000006
144,-13.5,0,16,0.733195,2.3977226689457893,-10.599000000000007
145,-15.4,0,51,0.728146,2.4503633233846402,-10.720000000000006
146,-0.6999999999999993,1,32,0.724978,3.6726715341210365,-10.766000000000005
147,-1.200000000000001,1,31,0.721909,3.12078758497392,-10.678000000000008
148,-9.6,0,9,0.7210179999999999,5.60596223672231,-10.690000000000008
149,-10.4,0,11,0.719929,1.3375271992249922,-10.688000000000006
150,-13.4,0,47,0.715276,4.504536110670008,-10.656000000000006
151,-15.500000000000002,1,44,0.71092,4.279728043485772,-10.685000000000008
152,-15.099999999999998,0,28,0.708148,2.7367855619106973,-10.613000000000007
153,-10.3,0,8,0.7073560000000001,3.2349919378757477,-10.641000000000004
154,-4.1,1,14,0.70597,5.13482803106308,-10.639000000000003
155,-1.9000000000000004,1,16,0.704386,4.224679995328188,-10.573000000000002
156,-2.0999999999999996,1,24,0.70201,5.755123570561409,-10.467000000000002
157,-15.1,0,20,0.7000299999999999,3.7439834043383597,-10.383000000000004
158,0.40000000000000036,1,29,0.697159,3.5943647417528877,-10.411000000000003
159,-1.9999999999999982,1,27,0.6944859999999999,4.377173366370024,-10.303000000000004
160,0.3000000000000007,1,14,0.6931,6.0244157910346985,-10.223000000000006
161,-2.099999999999998,1,30,0.69013,7.292827874422073,-10.220000000000006
162,-10.1,0,12,0.6889419999999999,3.733174612124761,-10.117000000000004
163,0.0,1,11,0.687853,9.054473627697337,-10.117000000000006
164,-13.3,0,46,0.683299,6.209818056096202,-10.008000000000006
165,-14.7,0,28,0.680527,6.065155804157257,-10.101000000000006
166,10.3,2,8,0.679735,8.536353960633278,-10.144000000000005
167,-10.5,0,6,0.679141,6.071685413519542,-9.865000000000006
168,-2.0,1,13,0.677854,7.149397707902468,-9.843000000000004
169,1.7763568394002505e-15,1,7,0.677161,7.779005476406643,-9.756000000000004
170,-1.5,1,16,0.6755770000000001,7.624226961284876,-9.571000000000003
171,-6.800000000000002,1,49,0.6707259999999999,7.427067334554633,-9.491000000000005
172,-9.4,0,9,0.669835,2.665503309832679,-9.407000000000004
173,-10.2,0,15,0.66835,4.320665168762207,-9.363000000000005
174,-10.7,0,14,0.666964,5.63928468312536,-9.427000000000003
175,0.6999999999999975,1,26,0.66439,6.751348646787497,-9.410000000000004
176,-10.6,0,7,0.663697,6.376091812338148,-9.266000000000004
177,-5.600000000000003,1,47,0.659044,5.6431902475813605,-9.271000000000004
178,-6.900000000000002,1,38,0.6552819999999999,10.037102058529854,-9.221000000000004
179,-12.700000000000001,1,50,0.6503319999999999,6.343110953569412,-9.186000000000002
180,-9.6,0,7,0.6496390000000001,7.009489067963192,-9.210000000000003
181,-10.5,0,10,0.648649,8.52270067334175,-9.207000000000004
182,-12.200000000000001,0,29,0.645778,6.635042130947113,-9.209000000000003
183,-14.900000000000002,0,18,0.643996,3.897107481956482,-9.198000000000002
184,-14.1,0,36,0.640432,9.987114076813063,-9.200000000000003
185,-13.2,0,17,0.638749,4.960074778865366,-9.181000000000003
186,-0.09999999999999964,1,10,0.637759,7.578400886058807,-9.206000000000003
187,-13.1,0,16,0.6361749999999999,5.596683006733656,-9.104000000000003
188,-11.0,0,47,0.631522,7.097097102631914,-9.134000000000004
189,9.199999999999996,2,21,0.629443,3.852752154781705,-9.137000000000002
190,-10.7,0,8,0.6286510000000001,7.388423476368189,-8.939000000000002
191,-10.4,0,11,0.627562,4.666945500807329,-8.942000000000002
192,-3.1999999999999975,1,41,0.6235029999999999,7.108827992183406,-8.919000000000002
193,-10.2,0,5,0.623008,16.653359031677248,-8.788000000000004
194,-2.8000000000000007,1,17,0.621325,8.39084822991315,-8.783000000000005
195,-10.5,0,14,0.619939,6.639948265893119,-8.659000000000002
